Sum of Sales	Year	Quarter	Month	Day	forecastValue	confidenceHighBound	confidenceLowBound	Earliest Date							
$468.90 	2015	Qtr 1	January	2				1/2/2015 0:00							
"$2,203.15 "	2015	Qtr 1	January	3				1/3/2015 0:00							
$119.89 	2015	Qtr 1	January	4				1/4/2015 0:00							
"$5,188.52 "	2015	Qtr 1	January	6				1/6/2015 0:00							
$601.02 	2015	Qtr 1	January	7				1/7/2015 0:00							
$228.33 	2015	Qtr 1	January	8				1/8/2015 0:00							
$469.44 	2015	Qtr 1	January	9				1/9/2015 0:00							
$4.71 	2015	Qtr 1	January	10				1/10/2015 0:00							
"$4,637.82 "	2015	Qtr 1	January	11				1/11/2015 0:00							
"$5,624.39 "	2015	Qtr 1	January	12				1/12/2015 0:00							
"$3,553.80 "	2015	Qtr 1	January	13				1/13/2015 0:00							
$61.96 	2015	Qtr 1	January	14				1/14/2015 0:00							
$149.95 	2015	Qtr 1	January	15				1/15/2015 0:00							
$299.96 	2015	Qtr 1	January	16				1/16/2015 0:00							
$64.86 	2015	Qtr 1	January	18				1/18/2015 0:00							
$378.59 	2015	Qtr 1	January	19				1/19/2015 0:00							
"$2,673.87 "	2015	Qtr 1	January	20				1/20/2015 0:00							
$40.08 	2015	Qtr 1	January	23				1/23/2015 0:00							
"$1,097.25 "	2015	Qtr 1	January	26				1/26/2015 0:00							
$426.67 	2015	Qtr 1	January	27				1/27/2015 0:00							
$3.93 	2015	Qtr 1	January	28				1/28/2015 0:00							
$240.50 	2015	Qtr 1	January	30				1/30/2015 0:00							
$290.67 	2015	Qtr 1	January	31				1/31/2015 0:00							
$211.65 	2015	Qtr 1	February	2				2/2/2015 0:00							
$47.76 	2015	Qtr 1	February	3				2/3/2015 0:00							
"$1,458.56 "	2015	Qtr 1	February	4				2/4/2015 0:00							
$506.12 	2015	Qtr 1	February	5				2/5/2015 0:00							
$738.60 	2015	Qtr 1	February	6				2/6/2015 0:00							
$79.56 	2015	Qtr 1	February	7				2/7/2015 0:00							
$886.28 	2015	Qtr 1	February	8				2/8/2015 0:00							
"$3,254.15 "	2015	Qtr 1	February	9				2/9/2015 0:00							
$598.14 	2015	Qtr 1	February	10				2/10/2015 0:00							
"$2,126.37 "	2015	Qtr 1	February	11				2/11/2015 0:00							
"$1,771.81 "	2015	Qtr 1	February	12				2/12/2015 0:00							
$576.73 	2015	Qtr 1	February	14				2/14/2015 0:00							
$21.36 	2015	Qtr 1	February	15				2/15/2015 0:00							
$9.04 	2015	Qtr 1	February	16				2/16/2015 0:00							
$54.21 	2015	Qtr 1	February	17				2/17/2015 0:00							
$37.78 	2015	Qtr 1	February	18				2/18/2015 0:00							
$95.59 	2015	Qtr 1	February	20				2/20/2015 0:00							
$8.85 	2015	Qtr 1	February	21				2/21/2015 0:00							
$19.44 	2015	Qtr 1	February	22				2/22/2015 0:00							
$11.36 	2015	Qtr 1	February	23				2/23/2015 0:00							
$55.67 	2015	Qtr 1	February	24				2/24/2015 0:00							
$19.46 	2015	Qtr 1	February	27				2/27/2015 0:00							
$16.45 	2015	Qtr 1	March	1				3/1/2015 0:00							
$97.11 	2015	Qtr 1	March	2				3/2/2015 0:00							
"$1,345.89 "	2015	Qtr 1	March	3				3/3/2015 0:00							
$72.63 	2015	Qtr 1	March	5				3/5/2015 0:00							
$531.16 	2015	Qtr 1	March	6				3/6/2015 0:00							
$477.99 	2015	Qtr 1	March	8				3/8/2015 0:00							
$22.08 	2015	Qtr 1	March	9				3/9/2015 0:00							
$862.68 	2015	Qtr 1	March	10				3/10/2015 0:00							
"$2,784.16 "	2015	Qtr 1	March	11				3/11/2015 0:00							
$505.88 	2015	Qtr 1	March	12				3/12/2015 0:00							
"$2,108.55 "	2015	Qtr 1	March	14				3/14/2015 0:00							
$370.78 	2015	Qtr 1	March	15				3/15/2015 0:00							
$471.92 	2015	Qtr 1	March	16				3/16/2015 0:00							
"$3,960.36 "	2015	Qtr 1	March	17				3/17/2015 0:00							
"$28,106.72 "	2015	Qtr 1	March	18				3/18/2015 0:00							
$590.76 	2015	Qtr 1	March	19				3/19/2015 0:00							
"$4,109.82 "	2015	Qtr 1	March	21				3/21/2015 0:00							
$464.09 	2015	Qtr 1	March	22				3/22/2015 0:00							
$945.06 	2015	Qtr 1	March	23				3/23/2015 0:00							
$65.38 	2015	Qtr 1	March	24				3/24/2015 0:00							
$459.15 	2015	Qtr 1	March	25				3/25/2015 0:00							
$145.13 	2015	Qtr 1	March	26				3/26/2015 0:00							
"$1,493.22 "	2015	Qtr 1	March	28				3/28/2015 0:00							
$890.84 	2015	Qtr 1	March	29				3/29/2015 0:00							
"$1,170.32 "	2015	Qtr 1	March	30				3/30/2015 0:00							
"$1,959.55 "	2015	Qtr 1	March	31				3/31/2015 0:00							
$288.06 	2015	Qtr 2	April	1				4/1/2015 0:00							
$134.38 	2015	Qtr 2	April	2				4/2/2015 0:00							
$370.45 	2015	Qtr 2	April	3				4/3/2015 0:00							
$475.84 	2015	Qtr 2	April	4				4/4/2015 0:00							
$187.43 	2015	Qtr 2	April	5				4/5/2015 0:00							
$456.27 	2015	Qtr 2	April	6				4/6/2015 0:00							
$247.41 	2015	Qtr 2	April	7				4/7/2015 0:00							
"$2,743.15 "	2015	Qtr 2	April	8				4/8/2015 0:00							
$728.75 	2015	Qtr 2	April	10				4/10/2015 0:00							
"$6,693.75 "	2015	Qtr 2	April	11				4/11/2015 0:00							
$129.98 	2015	Qtr 2	April	12				4/12/2015 0:00							
$638.58 	2015	Qtr 2	April	13				4/13/2015 0:00							
$294.72 	2015	Qtr 2	April	15				4/15/2015 0:00							
$39.07 	2015	Qtr 2	April	16				4/16/2015 0:00							
"$1,020.53 "	2015	Qtr 2	April	18				4/18/2015 0:00							
$205.47 	2015	Qtr 2	April	19				4/19/2015 0:00							
"$1,250.45 "	2015	Qtr 2	April	20				4/20/2015 0:00							
$845.36 	2015	Qtr 2	April	21				4/21/2015 0:00							
$257.75 	2015	Qtr 2	April	22				4/22/2015 0:00							
